[2024-01-11 22:26:56.675] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:26:56.675] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:26:56.680] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:26:56.680] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:26:56.685] $GPGSV,1,1,00,1*64
[2024-01-11 22:26:56.685] $GLGSV,1,1,00,1*78
[2024-01-11 22:26:56.690] $GAGSV,1,1,00,7*73
[2024-01-11 22:26:56.691] $GBGSV,1,1,00,1*76
[2024-01-11 22:26:56.691] $GBGSV,1,1,00,3*74
[2024-01-11 22:26:56.695] $GNRMC,235947.012,V,,,,,,,050180,,,N,V*28
[2024-01-11 22:26:56.695] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:26:57.662] $GNGGA,235948.012,,,,,0,0,,,M,,M,,*54
[2024-01-11 22:26:57.674] $GNGLL,,,,,235948.012,V,N*66
[2024-01-11 22:26:57.674] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:26:57.674] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:26:57.679] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:26:57.683] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:26:57.683] $GPGSV,1,1,00,1*64
[2024-01-11 22:26:57.683] $GLGSV,1,1,00,1*78
[2024-01-11 22:26:57.690] $GAGSV,1,1,00,7*73
[2024-01-11 22:26:57.690] $GBGSV,1,1,00,1*76
[2024-01-11 22:26:57.695] $GBGSV,1,1,00,3*74
[2024-01-11 22:26:57.695] $GNRMC,235948.012,V,,,,,,,050180,,,N,V*27
[2024-01-11 22:26:57.695] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:26:58.663] $GNGGA,235949.012,,,,,0,0,,,M,,M,,*55
[2024-01-11 22:26:58.670] $GNGLL,,,,,235949.012,V,N*67
[2024-01-11 22:26:58.676] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:26:58.676] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
