messageGuid,deviceGuid,createdDate,receivedDate,latitude,longitude,data,messageSize,callbackDeliveryStatus
78259ab2-3045-49c5-b2ef-f8201074f065,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 08:10:46,02/28/2024 10:03:30,52.278386,20.809123,MTAsMSwyLDQ1MDA=,19,4
d935a862-5385-4b27-b550-3d59ad1c8cd6,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 06:43:43,02/28/2024 10:03:35,52.278436,20.809054,OCwxLjQsMTIsMyw1MjI3ODQzNjAsMjA4MDkwNTQw,38,4
30c7b899-f7bf-4e2d-9c05-370a41687dd6,37e91959-2b3c-464c-866a-acc75e5f5bba,02/27/2024 23:16:33,02/28/2024 10:03:35,52.278595,20.809049,MSwxLjQsNywxLDUyMjc4NTk1MCwyMDgwOTA0OTA=,37,4
cb72fe33-e242-4803-8605-3880787c0d70,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 07:43:54,02/28/2024 10:03:39,52.278386,20.809123,OSwxLjUsMTIsMyw1MjI3ODM4NjAsMjA4MDkxMjMw,38,4
caf8ce31-b56a-4fda-9f0f-98158c496487,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 02:42:31,02/28/2024 11:09:22,52.278363,20.8091839,NCwxLjQsMjksMiw1MjI3ODM2MzAsMjA4MDkxODM5,38,4
be446ef1-1f3b-40ac-a017-4801d8dfefcd,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 03:42:52,02/28/2024 11:09:23,52.278662,20.808968,NSwxLjgsMjEsMiw1MjI3ODY2MjAsMjA4MDg5Njgw,38,4
ca5b223a-1d75-4a11-8fc9-d03ac56436ca,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 04:43:04,02/28/2024 11:09:23,52.278488,20.8088209,NiwxLjYsMTIsMiw1MjI3ODQ4ODAsMjA4MDg4MjA5,38,4
2b1085ed-9d80-4b11-a702-c36d271cd3cd,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 05:43:31,02/28/2024 11:09:23,52.278407,20.8090629,NywxLjQsMjgsMyw1MjI3ODQwNzAsMjA4MDkwNjI5,38,4
ba5b8b1f-ea8d-469c-95b2-9efeeb97fd07,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 09:52:50,02/28/2024 14:29:16,52.2810569,20.81016,MTEsMS42LDE0LDMsNTIyODEwNTY5LDIwODEwMTYwMA==,39,4
ce0c9592-270e-4e4b-a677-432ce70dde3c,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 11:08:13,02/28/2024 14:29:17,0,0,MTIsMC4wLDIyLDQsMCww,23,4
21cba580-80f8-44f5-9eb0-eef814239362,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 14:00:21,02/28/2024 20:09:04,52.278493,20.809104,MTQsMS42LDksNCw1MjI3ODQ5MzAsMjA4MDkxMDQw,38,4
a82a9f14-c033-4cac-88c2-39d5bd7a612b,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 15:50:07,02/28/2024 22:13:05,52.278681,20.809461,MTUsMS42LDE4LDUsNTIyNzg2ODEwLDIwODA5NDYxMA==,39,4
